teamId;teamName;shortName;officialName;code;field;country;matchId;scores.halftime;scores.fulltime
4vvf3sulx3a61fiyaarjdndjs;Madrid;Madrid CFF;Madrid CFF;MAD;home;Spain;8auwnphg4vhaxmpg3nsokobv8;3;5
eqaszp3lzhffqt4f8hmzov72j;Alhama;Alhama;Alhama CF;ALH;away;Spain;8auwnphg4vhaxmpg3nsokobv8;0;0
