id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_PlayerPosition;value_TeamFormation;value_Involved;value_JerseyNumber;value_TeamKit;value_TeamPlayerFormation;value_Resume;value_Captain;value_DirectionOfPlay;value_Length;value_Zone;value_PassEndY;value_KickOff;value_PassEndX;value_Angle;value_Launch;value_LongBall;value_Chipped;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_BlockedY;value_BlockedX;value_GoalmouthY;value_GoalmouthZ;value_OutOfBoxCentre;value_RegularPlay;value_NotAssisted;value_LowCentre;value_LeftFooted;value_Collected;value_Standing;value_Hands;value_KeeperThrow;value_IntendedTackleTarget;value_AttemptedTackle;value_Foul;value_Direct;value_FreeKickTaken;value_NextEventThrowIn;value_ThrowIn;value_Assist;value_IntentionalAssist;value_GkX;value_GoalShotGameClock;value_GkY;value_GoalShotTimestamp;value_RelatedEventId;value_LowLeft;value_Assisted;value_BoxCentre;value_Handball;value_HeadPass;value_PlayersCaughtOffside;value_Indirect;value_NotVisible;value_Cross;value_FreeKick;value_CloseLeft;value_RightFooted;value_NextEventGoalKick;value_GoalKick;value_Low;value_FlickOn;value_IndividualPlay;value_CloseRight;value_High;value_OutOfPlay;value_BlockedPass;value_ParriedSafe;value_Right;value_Left;value_InSwinger;value_CornerTaken;value_LayOff;value_HighRight;value_DeletedEventType;value_Head;value_Overrun;value_OverhitCross;value_BlockedCross;value_FromCorner;value_FirstTouch;value_GkKickFromHands;value_Blocked;value_35Centre;value_DefBlock;value_ShirtPull/Holding;value_YellowCard;value_TacticalFoul;value_OverArm;value_SetPiece;value_GkChallenge;value_BigChance;value_InjuredPlayerId;value_Injury;value_CloseRightAndHigh;value_Minutes;value_LowRight;value_EndType;value_GkHoof;value_HighCentre;value_RecklessOffence;value_SmallBoxCentre;value_NotPastGoalLine;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_BoxRight;value_PullBack;value_FairPlay;value_Review;value_RefereeDelay;value_VarDelay;value_AwaitingOfficial'SDecision;value_RefereeDecisionConfirmed;value_Var(Red)CardUpgrade;value_ReviewedEventId;value_Dissent;value_PreReviewEventType;value_RefereeDecisionCancelled;value_VarGoalAwarded;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2902428757;537;44;2;61;4;12ocm5j2bjgggpwl6pou5thym;0;78,5;43,0;2026-02-21T12:19:27.214Z;2026-02-21T12:59:15Z;[{'id': 6217990563, 'qualifierId': 56, 'value': 'Center'}, {'id': 6217990625, 'qualifierId': 233, 'value': '406'}, {'id': 6217990565, 'qualifierId': 286}];98iqeohkfj8obshis2j4yo2s4;Elena Vázquez;;;8cgdtx10ootbfg6kfbckt7c44;Aerial;;;;;;;;;;;;;;;;;;;406,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12ocm5j2bjgggpwl6pou5thym;Deportivo La Coruña;away;;;;;;;;;0;0;61;4;Levante;3664;DC;1,0
2902428753;407;12;2;61;5;9ns699xp353c84r1g6epazycl;1;21,5;57,0;2026-02-21T12:19:27.717Z;2026-02-21T12:59:15Z;[{'id': 6217990527, 'qualifierId': 56, 'value': 'Back'}, {'id': 6217990529, 'qualifierId': 140, 'value': '29.5'}, {'id': 6217990531, 'qualifierId': 141, 'value': '43.7'}, {'id': 6217990535, 'qualifierId': 213, 'value': '5.46'}, {'id': 6217990561, 'qualifierId': 15}, {'id': 6217990533, 'qualifierId': 212, 'value': '12.3'}];aktfohaqh9czmqesi39tstlka;Teresa Mérida;;;8cgdtx10ootbfg6kfbckt7c44;Clearance;;;;;;;;;;12,3;;43,7;;29,5;5,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9ns699xp353c84r1g6epazycl;Levante;home;29,5;43,7;;;;;;;0;0;61;5;Deportivo La Coruña;3665;DC;1,0
2902428781;408;1;2;61;6;9ns699xp353c84r1g6epazycl;0;18,2;44,5;2026-02-21T12:19:29.470Z;2026-02-21T12:19:31Z;[{'id': 6217990679, 'qualifierId': 56, 'value': 'Center'}, {'id': 6217990687, 'qualifierId': 213, 'value': '0.21'}, {'id': 6217990681, 'qualifierId': 140, 'value': '50.1'}, {'id': 6217990689, 'qualifierId': 1}, {'id': 6217990677, 'qualifierId': 157}, {'id': 6217990683, 'qualifierId': 141, 'value': '54.8'}, {'id': 6217990685, 'qualifierId': 212, 'value': '34.2'}];20a7qqb9irw4hspharzy94ro4;Alma Velasco;;;8cgdtx10ootbfg6kfbckt7c44;Pass;;;;;;;;;;34,2;;54,8;;50,1;0,21;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9ns699xp353c84r1g6epazycl;Levante;home;50,1;54,8;;;;;;;0;0;61;6;Deportivo La Coruña;3666;DC;1,0
2902428775;538;13;2;61;7;12ocm5j2bjgggpwl6pou5thym;1;72,3;66,8;2026-02-21T12:19:30.567Z;2026-02-21T13:04:05Z;[{'id': 6217998683, 'qualifierId': 75}, {'id': 6217998689, 'qualifierId': 458}, {'id': 6217998685, 'qualifierId': 102, 'value': '40.5'}, {'id': 6217998479, 'qualifierId': 24}, {'id': 6217998691, 'qualifierId': 146, 'value': '79.0'}, {'id': 6217990655, 'qualifierId': 56, 'value': 'Center'}, {'id': 6217998687, 'qualifierId': 103, 'value': '13.9'}, {'id': 6217998481, 'qualifierId': 20}, {'id': 6217998693, 'qualifierId': 147, 'value': '59.0'}, {'id': 6217998695, 'qualifierId': 230, 'value': '99.0'}, {'id': 6217998697, 'qualifierId': 231, 'value': '49.6'}, {'id': 6217998485, 'qualifierId': 153}, {'id': 6217998215, 'qualifierId': 18}];98iqeohkfj8obshis2j4yo2s4;Elena Vázquez;;;8cgdtx10ootbfg6kfbckt7c44;Miss;;;;;;;;;;;;;;;;;;;;;;59,0;79,0;40,5;13,9;1,0;;1,0;;;;;;;;;;;;;;;;99,0;;49,6;;;;;;;;;;;;;;1,0;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;12ocm5j2bjgggpwl6pou5thym;Deportivo La Coruña;away;;;79,0;59,0;40,5;13.9;;;0;0;61;7;Levante;3667;DC;1,0
2902428841;539;1;2;61;10;12ocm5j2bjgggpwl6pou5thym;1;24,8;44,0;2026-02-21T12:19:33.248Z;2026-02-21T12:19:36Z;[{'id': 6217990937, 'qualifierId': 212, 'value': '16.8'}, {'id': 6217990935, 'qualifierId': 141, 'value': '20.6'}, {'id': 6217990933, 'qualifierId': 140, 'value': '30.0'}, {'id': 6217990939, 'qualifierId': 213, 'value': '5.04'}, {'id': 6217990931, 'qualifierId': 56, 'value': 'Back'}];7vdr4g6rqi77o5jtsqyoy38q1;Inês Pereira;;;8cgdtx10ootbfg6kfbckt7c44;Pass;;;;;;;;;;16,8;;20,6;;30,0;5,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12ocm5j2bjgggpwl6pou5thym;Deportivo La Coruña;away;30,0;20,6;;;;;;;0;0;61;10;Levante;3670;GK;1,0
2902428885;540;1;2;61;13;12ocm5j2bjgggpwl6pou5thym;0;31,8;15,6;2026-02-21T12:19:36.632Z;2026-02-21T12:19:42Z;[{'id': 6217991171, 'qualifierId': 56, 'value': 'Center'}, {'id': 6217991175, 'qualifierId': 141, 'value': '51.0'}, {'id': 6217991179, 'qualifierId': 213, 'value': '0.41'}, {'id': 6217991173, 'qualifierId': 140, 'value': '84.5'}, {'id': 6217991181, 'qualifierId': 1}, {'id': 6217991177, 'qualifierId': 212, 'value': '60.3'}, {'id': 6217991169, 'qualifierId': 155}];1r935k5rouppt9i35uf5lrzmc;Olaya Rodríguez;;;8cgdtx10ootbfg6kfbckt7c44;Pass;;;;;;;;;;60,3;;51,0;;84,5;0,41;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12ocm5j2bjgggpwl6pou5thym;Deportivo La Coruña;away;84,5;51,0;;;;;;;0;0;61;13;Levante;3673;MC;1,0
2902428899;409;52;2;61;21;9ns699xp353c84r1g6epazycl;1;13,5;39,2;2026-02-21T12:19:43.846Z;2026-02-21T12:19:43Z;[];6uttq0cpsnicezpcqy36p7r4k;Andrea Tarazona;;;8cgdtx10ootbfg6kfbckt7c44;Keeper pick-up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9ns699xp353c84r1g6epazycl;Levante;home;;;;;;;;;0;0;61;21;Deportivo La Coruña;3681;GK;1,0
2902428923;410;1;2;61;23;9ns699xp353c84r1g6epazycl;1;13,5;39,2;2026-02-21T12:19:45.932Z;2026-02-21T12:19:50Z;[{'id': 6217991387, 'qualifierId': 141, 'value': '65.5'}, {'id': 6217991381, 'qualifierId': 123}, {'id': 6217991391, 'qualifierId': 213, 'value': '1.16'}, {'id': 6217991383, 'qualifierId': 56, 'value': 'Back'}, {'id': 6217991389, 'qualifierId': 212, 'value': '19.5'}, {'id': 6217991385, 'qualifierId': 140, 'value': '20.9'}];6uttq0cpsnicezpcqy36p7r4k;Andrea Tarazona;;;8cgdtx10ootbfg6kfbckt7c44;Pass;;;;;;;;;;19,5;;65,5;;20,9;1,16;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9ns699xp353c84r1g6epazycl;Levante;home;20,9;65,5;;;;;;;0;0;61;23;Deportivo La Coruña;3683;GK;1,0
2902428959;411;1;2;61;27;9ns699xp353c84r1g6epazycl;1;20,9;65,5;2026-02-21T12:19:50.605Z;2026-02-21T12:19:56Z;[{'id': 6217991633, 'qualifierId': 141, 'value': '73.2'}, {'id': 6217991635, 'qualifierId': 212, 'value': '18.8'}, {'id': 6217991637, 'qualifierId': 213, 'value': '0.28'}, {'id': 6217991631, 'qualifierId': 140, 'value': '38.1'}, {'id': 6217991629, 'qualifierId': 56, 'value': 'Back'}];aktfohaqh9czmqesi39tstlka;Teresa Mérida;;;8cgdtx10ootbfg6kfbckt7c44;Pass;;;;;;;;;;18,8;;73,2;;38,1;0,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9ns699xp353c84r1g6epazycl;Levante;home;38,1;73,2;;;;;;;0;0;61;27;Deportivo La Coruña;3687;DC;1,0
2902428961;412;4;2;61;33;9ns699xp353c84r1g6epazycl;1;42,9;74,8;2026-02-21T12:19:56.079Z;2026-02-21T12:21:09Z;[{'id': 6217991687, 'qualifierId': 13}, {'id': 6217991885, 'qualifierId': 233, 'value': '541'}, {'id': 6217994607, 'qualifierId': 295}, {'id': 6217991691, 'qualifierId': 152}, {'id': 6217991695, 'qualifierId': 286}, {'id': 6217991689, 'qualifierId': 56, 'value': 'Back'}];791g6utcjg9779zlvf7gyavze;Ana Franco;;;8cgdtx10ootbfg6kfbckt7c44;Foul;;;;;;;;;;;;;;;;;;;541,0;1,0;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9ns699xp353c84r1g6epazycl;Levante;home;;;;;;;;;0;0;61;33;Deportivo La Coruña;3693;FW;1,0
2902428975;541;4;2;61;33;12ocm5j2bjgggpwl6pou5thym;0;57,1;25,2;2026-02-21T12:19:56.080Z;2026-02-21T12:21:09Z;[{'id': 6217991927, 'qualifierId': 233, 'value': '412'}, {'id': 6217991871, 'qualifierId': 13}, {'id': 6217991875, 'qualifierId': 56, 'value': 'Center'}, {'id': 6217991879, 'qualifierId': 285}, {'id': 6217991873, 'qualifierId': 295}, {'id': 6217991877, 'qualifierId': 152}, {'id': 6217992559, 'qualifierId': 55, 'value': '542'}];6ipxd5xg20qst10lfyufdjahh;S. Ortíz;;;8cgdtx10ootbfg6kfbckt7c44;Foul;;;;;;;;;;;;;;;;;;;412,0;;1,0;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;542,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12ocm5j2bjgggpwl6pou5thym;Deportivo La Coruña;away;;;;;;;542,0;6ipxd5xg20qst10lfyufdjahh;0;0;61;33;Levante;3693;DR;1,0
2902429017;542;17;2;61;37;12ocm5j2bjgggpwl6pou5thym;1;0,0;0,0;2026-02-21T12:19:59.912Z;2026-02-21T12:20:17Z;[{'id': 6217992543, 'qualifierId': 393}, {'id': 6217992547, 'qualifierId': 55, 'value': '541'}, {'id': 6217992545, 'qualifierId': 13, 'value': '243'}, {'id': 6217992541, 'qualifierId': 31}];6ipxd5xg20qst10lfyufdjahh;S. Ortíz;;;8cgdtx10ootbfg6kfbckt7c44;Card;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;243,0;;;;;;;;;;;541,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12ocm5j2bjgggpwl6pou5thym;Deportivo La Coruña;away;;;;;;;541,0;6ipxd5xg20qst10lfyufdjahh;0;0;61;37;Levante;3697;DR;1,0
2902429225;413;18;2;61;57;9ns699xp353c84r1g6epazycl;1;0,0;0,0;2026-02-21T12:20:19.911Z;2026-02-21T12:20:43Z;[{'id': 6217993057, 'qualifierId': 44, 'value': 'Defender'}, {'id': 6217993055, 'qualifierId': 42}, {'id': 6217993059, 'qualifierId': 59, 'value': '3'}, {'id': 6217993149, 'qualifierId': 55, 'value': '414'}];20a7qqb9irw4hspharzy94ro4;Alma Velasco;;;8cgdtx10ootbfg6kfbckt7c44;Player off;;;;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;414,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;9ns699xp353c84r1g6epazycl;Levante;home;;;;;;;414,0;1b7vrqk6erhivegpe784op3is;0;0;61;57;Deportivo La Coruña;3717;DC;1,0
