id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_PlayerPosition;value_Captain;value_Involved;value_Resume;value_JerseyNumber;value_TeamPlayerFormation;value_TeamFormation;value_DirectionOfPlay;value_KickOff;value_PassEndX;value_Angle;value_PassEndY;value_Length;value_Zone;value_Chipped;value_LongBall;value_IntentionalAssist;value_Assist;value_Right;value_BigChance;value_GoalmouthZ;value_RegularPlay;value_GkY;value_LeftFooted;value_Assisted;value_RelatedEventId;value_GoalmouthY;value_GkX;value_SmallBoxCentre;value_NextEventGoalKick;value_OppositeRelatedEventId;value_NotVisible;value_Low;value_GoalKick;value_Direct;value_Foul;value_Offensive;value_AttemptedTackle;value_Defensive;value_FreeKickTaken;value_BlockedPass;value_NextEventThrowIn;value_ThrowIn;value_HeadPass;value_FlickOn;value_Standing;value_IntendedTackleTarget;value_Launch;value_OutOfPlay;value_Overrun;value_SwitchOfPlay;value_IndividualPlay;value_CloseRightAndHigh;value_OutOfBoxCentre;value_NotAssisted;value_DeletedEventType;value_BlockedX;value_RightFooted;value_BlockedY;value_LowLeft;value_ParriedSafe;value_Hands;value_GkKickFromHands;value_Cross;value_CloseHigh;value_ThrowInSetPiece;value_LayOff;value_ShirtPull/Holding;value_KeeperThrow;value_FirstTouch;value_Head;value_CloseRight;value_Indirect;value_DangerousPlay;value_YellowCard;value_RecklessOffence;value_Handball;value_HighCentre;value_FreeKick;value_OverArm;value_TacticalFoul;value_SetPiece;value_BoxCentre;value_Left;value_LeadingToAttempt;value_HighLeft;value_RelatedError1Id;value_Collected;value_GoalShotGameClock;value_GoalShotTimestamp;value_LowRight;value_Dissent;value_AdvantagePlayed;value_Injury;value_InjuredPlayerId;value_High;value_BoxLeft;value_HitWoodwork;value_BoxRight;value_OutSwinger;value_CornerTaken;value_SixYardBlocked;value_FromCorner;value_Blocked;value_DefBlock;value_Minutes;value_HighRight;value_EndType;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_InSwinger;value_PlayersCaughtOffside;value_Review;value_VarDelay;value_RefereeDelay;value_AwaitingOfficial'SDecision;value_ReviewedEventId;value_RefereeDecisionConfirmed;value_Var(Red)CardUpgrade;value_HighClaim;value_LeadingToGoal;value_BlockedCross;value_NotPastGoalLine;value_OverhitCross;value_LowCentre;value_KeeperTouched;value_BoxDeepLeft;value_TimeWasting;value_35Centre;value_OtherReason;value_RefereeStop;value_VarPenaltyNotAwarded;value_GkHoof;value_FantasyAssistType;value_FantasyAssistTeam;value_FantasyAssistedBy;value_Volley;value_FantasyAssistId;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2902547003;555;1;2;76;50;11oyltk0f22f5r7hnfiwxw8bj;1;88,6;24,3;2026-02-21T14:35:17.995Z;2026-02-21T14:35:20Z;[{'id': 6218638775, 'qualifierId': 212, 'value': '11.5'}, {'id': 6218638773, 'qualifierId': 141, 'value': '10.0'}, {'id': 6218638777, 'qualifierId': 213, 'value': '4.15'}, {'id': 6218638771, 'qualifierId': 140, 'value': '82.7'}, {'id': 6218638769, 'qualifierId': 56, 'value': 'Right'}];71n7sy7gjeeek5y3f0jhzhj6y;X. Velazco;;;8c2dsd3xcpqv0z0j4g3nag8pg;Pass;;;;;;;;;;;82,7;4,15;10,0;11,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11oyltk0f22f5r7hnfiwxw8bj;Logroño;home;82,7;10,0;;;;;;;0;0;76;50;Badalona;4610;Sub;1,0
2902547049;556;1;2;76;52;11oyltk0f22f5r7hnfiwxw8bj;0;82,7;10,0;2026-02-21T14:35:19.820Z;2026-02-21T14:35:22Z;[{'id': 6218638987, 'qualifierId': 2}, {'id': 6218639005, 'qualifierId': 141, 'value': '42.4'}, {'id': 6218639001, 'qualifierId': 140, 'value': '100.0'}, {'id': 6218639009, 'qualifierId': 213, 'value': '0.85'}, {'id': 6218639007, 'qualifierId': 212, 'value': '29.4'}, {'id': 6218638995, 'qualifierId': 56, 'value': 'Center'}, {'id': 6218638991, 'qualifierId': 155}];1cjtzcg2nj8lo1vlus08ybs2d;A. Leitner;;;8c2dsd3xcpqv0z0j4g3nag8pg;Pass;;;;;;;;;;;100,0;0,85;42,4;29,4;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11oyltk0f22f5r7hnfiwxw8bj;Logroño;home;100,0;42,4;;;;;;;0;0;76;52;Badalona;4612;DR;1,0
2902547293;557;5;2;76;55;11oyltk0f22f5r7hnfiwxw8bj;0;101,2;41,8;2026-02-21T14:35:22.125Z;2026-02-21T15:04:46Z;[{'id': 6218640401, 'qualifierId': 346}, {'id': 6218641049, 'qualifierId': 233, 'value': '774'}, {'id': 6218640399, 'qualifierId': 56, 'value': 'Center'}];1cjtzcg2nj8lo1vlus08ybs2d;A. Leitner;;;8c2dsd3xcpqv0z0j4g3nag8pg;Out;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;774,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11oyltk0f22f5r7hnfiwxw8bj;Logroño;home;;;;;;;;;0;0;76;55;Badalona;4615;DR;1,0
2902547401;774;5;2;76;55;e7p3lxg97gac51s71hotzi0a5;1;-1,2;58,2;2026-02-21T14:35:22.125Z;2026-02-21T15:04:45Z;[{'id': 6218640997, 'qualifierId': 56, 'value': 'Back'}, {'id': 6218640999, 'qualifierId': 346}, {'id': 6218641021, 'qualifierId': 233, 'value': '557'}];52kdiaya57yaisoil0k9ss0oa;Sonia Majarín;;;8c2dsd3xcpqv0z0j4g3nag8pg;Out;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;557,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;e7p3lxg97gac51s71hotzi0a5;Badalona;away;;;;;;;;;0;0;76;55;Logroño;4615;DC;1,0
2902547429;775;1;2;77;15;e7p3lxg97gac51s71hotzi0a5;1;4,7;58,8;2026-02-21T14:35:42.779Z;2026-02-21T14:35:44Z;[{'id': 6218641163, 'qualifierId': 237}, {'id': 6218641157, 'qualifierId': 212, 'value': '7.8'}, {'id': 6218641153, 'qualifierId': 140, 'value': '3.2'}, {'id': 6218641159, 'qualifierId': 213, 'value': '4.51'}, {'id': 6218641151, 'qualifierId': 56, 'value': 'Back'}, {'id': 6218641149, 'qualifierId': 124}, {'id': 6218641155, 'qualifierId': 141, 'value': '47.6'}];b6z0orwdesae508226mhd6sd0;Nerea Carmona;;;8c2dsd3xcpqv0z0j4g3nag8pg;Pass;;;;;;;;;;;3,2;4,51;47,6;7,8;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;e7p3lxg97gac51s71hotzi0a5;Badalona;away;3,2;47,6;;;;;;;0;0;77;15;Logroño;4635;DC;1,0
2902547493;776;1;2;77;17;e7p3lxg97gac51s71hotzi0a5;1;3,2;47,6;2026-02-21T14:35:44.149Z;2026-02-21T14:35:48Z;[{'id': 6218641587, 'qualifierId': 1}, {'id': 6218641583, 'qualifierId': 212, 'value': '45.7'}, {'id': 6218641581, 'qualifierId': 141, 'value': '28.5'}, {'id': 6218641575, 'qualifierId': 157}, {'id': 6218641579, 'qualifierId': 140, 'value': '44.9'}, {'id': 6218641585, 'qualifierId': 213, 'value': '5.99'}, {'id': 6218641577, 'qualifierId': 56, 'value': 'Back'}];d1iaa35qeww3me6qcyisvlsh6;María Valenzuela;;;8c2dsd3xcpqv0z0j4g3nag8pg;Pass;;;;;;;;;;;44,9;5,99;28,5;45,7;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;e7p3lxg97gac51s71hotzi0a5;Badalona;away;44,9;28,5;;;;;;;0;0;77;17;Logroño;4637;GK;1,0
2902547619;777;1;2;77;21;e7p3lxg97gac51s71hotzi0a5;1;44,3;35,8;2026-02-21T14:35:48.083Z;2026-02-21T14:35:54Z;[{'id': 6218642439, 'qualifierId': 212, 'value': '28.6'}, {'id': 6218642433, 'qualifierId': 56, 'value': 'Center'}, {'id': 6218642437, 'qualifierId': 141, 'value': '30.0'}, {'id': 6218642441, 'qualifierId': 213, 'value': '6.14'}, {'id': 6218642435, 'qualifierId': 140, 'value': '71.3'}];du4sd3yhhb3avedd8yzjd6dey;L. Chamorro;;;8c2dsd3xcpqv0z0j4g3nag8pg;Pass;;;;;;;;;;;71,3;6,14;30,0;28,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;e7p3lxg97gac51s71hotzi0a5;Badalona;away;71,3;30,0;;;;;;;0;0;77;21;Logroño;4641;FW;1,0
2902547803;778;1;2;77;27;e7p3lxg97gac51s71hotzi0a5;1;80,7;31,0;2026-02-21T14:35:54.492Z;2026-02-21T15:07:32Z;[{'id': 6218651511, 'qualifierId': 22}, {'id': 6218643459, 'qualifierId': 56, 'value': 'Center'}, {'id': 6218651509, 'qualifierId': 154}, {'id': 6218643465, 'qualifierId': 212, 'value': '24.6'}, {'id': 6218651507, 'qualifierId': 210, 'value': '16'}, {'id': 6218643463, 'qualifierId': 141, 'value': '61.5'}, {'id': 6218643467, 'qualifierId': 213, 'value': '1.00'}, {'id': 6218643461, 'qualifierId': 140, 'value': '93.3'}];4npi8qi5wocscvabl4xlompec;Paula Sánchez;;1,0;8c2dsd3xcpqv0z0j4g3nag8pg;Pass;;;;;;;;;;;93,3;1,0;61,5;24,6;;;;1,0;16,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;e7p3lxg97gac51s71hotzi0a5;Badalona;away;93,3;61,5;;;;;;;0;0;77;27;Logroño;4647;Sub;1,0
2902547809;779;16;2;77;28;e7p3lxg97gac51s71hotzi0a5;1;93,3;61,5;2026-02-21T14:35:55.244Z;2026-02-21T14:37:29Z;[{'id': 6218651567, 'qualifierId': 328}, {'id': 6218651563, 'qualifierId': 103, 'value': '12.0'}, {'id': 6218651551, 'qualifierId': 78}, {'id': 6218650327, 'qualifierId': 17}, {'id': 6218651555, 'qualifierId': 154}, {'id': 6218651571, 'qualifierId': 230, 'value': '100'}, {'id': 6218651561, 'qualifierId': 102, 'value': '51.1'}, {'id': 6218651569, 'qualifierId': 136}, {'id': 6218643487, 'qualifierId': 22}, {'id': 6218651565, 'qualifierId': 214}, {'id': 6218650325, 'qualifierId': 72}, {'id': 6218651553, 'qualifierId': 29}, {'id': 6218650335, 'qualifierId': 375, 'value': '77:27.606'}, {'id': 6218651557, 'qualifierId': 55, 'value': '778'}, {'id': 6218651573, 'qualifierId': 231, 'value': '52.7'}, {'id': 6218650331, 'qualifierId': 374, 'value': '2026-02-21 14:35:54.613'}, {'id': 6218643491, 'qualifierId': 56, 'value': 'Center'}];ahmylmsg9wyiax33v6jwuj9qs;Irina Uribe;;;8c2dsd3xcpqv0z0j4g3nag8pg;Goal;;;;;;;;;;;;;;;;;;1,0;;;1,0;12,0;1,0;52,7;1,0;1,0;778,0;51,1;100,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;e7p3lxg97gac51s71hotzi0a5;Badalona;away;;;;;51,1;12.0;778,0;4npi8qi5wocscvabl4xlompec;0;1;77;28;Logroño;4648;DML;1,0
2902549123;561;1;2;78;54;11oyltk0f22f5r7hnfiwxw8bj;1;50,1;50,3;2026-02-21T14:37:21.733Z;2026-02-21T14:37:26Z;[{'id': 6218651141, 'qualifierId': 141, 'value': '53.3'}, {'id': 6218651147, 'qualifierId': 279, 'value': 'G'}, {'id': 6218651143, 'qualifierId': 212, 'value': '29.7'}, {'id': 6218651145, 'qualifierId': 213, 'value': '3.07'}, {'id': 6218651139, 'qualifierId': 140, 'value': '21.9'}, {'id': 6218651137, 'qualifierId': 56, 'value': 'Back'}];5nah6vofjfm3wniqdxs12ntg;S. Prat;;;8c2dsd3xcpqv0z0j4g3nag8pg;Pass;;;;;;;;;;;21,9;3,07;53,3;29,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11oyltk0f22f5r7hnfiwxw8bj;Logroño;home;21,9;53,3;;;;;;;0;0;78;54;Badalona;4734;ML;1,0
