teamId;teamName;shortName;officialName;code;field;country;matchId;scores.halftime;scores.fulltime
6fg6tuq29l23vvmfaoivzmbx1;Eibar;Eibar;SD Eibar;EIB;home;Spain;8b8qojrl7pmleq86uh9y0bhn8;0;0
1azk57wev30h044w949j46kpu;Athletic Club;Athletic;Athletic Club;ATH;away;Spain;8b8qojrl7pmleq86uh9y0bhn8;0;1
