id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_Captain;value_TeamFormation;value_TeamPlayerFormation;value_PlayerPosition;value_Involved;value_JerseyNumber;value_TeamKit;value_DirectionOfPlay;value_PassEndY;value_PassEndX;value_Zone;value_Length;value_Angle;value_KickOff;value_LongBall;value_Launch;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_Defensive;value_Offensive;value_HeadPass;value_Head;value_Foul;value_Direct;value_Shove/Push;value_FreeKickTaken;value_Chipped;value_IntendedTackleTarget;value_OutOfPlay;value_NotVisible;value_Standing;value_Cross;value_BlockedPass;value_BlockedCross;value_LeadingToAttempt;value_NotAssisted;value_RightFooted;value_BoxRight;value_High;value_RelatedError1Id;value_GkX;value_IndividualPlay;value_BigChance;value_RegularPlay;value_GkY;value_GoalmouthZ;value_GoalmouthY;value_NextEventGoalKick;value_GoalKick;value_AttemptedTackle;value_Indirect;value_Assist;value_IntentionalAssist;value_Assisted;value_LowLeft;value_BlockedX;value_RelatedEventId;value_Blocked;value_BlockedY;value_SmallBoxCentre;value_SixYardBlocked;value_DefBlock;value_GkKickFromHands;value_DeletedEventType;value_Hands;value_ParriedSafe;value_Overrun;value_InjuredPlayerId;value_Injury;value_FlickOn;value_BoxCentre;value_Diving;value_Review;value_PenaltyTakerId;value_Penalty;value_AwaitingOfficial'SDecision;value_RefereeDelay;value_VarDelay;value_ReviewedEventId;value_VarPenaltyAwarded;value_RefereeDecisionConfirmed;value_FantasyAssistTeam;value_LowRight;value_FantasyAssistId;value_FantasyAssistedBy;value_FantasyAssistType;value_GoalShotTimestamp;value_CausingPlayer;value_GoalShotGameClock;value_Second(2Nd)OppositeRelatedEventId;value_Left;value_Scored;value_Right;value_OutSwinger;value_CornerTaken;value_ShirtPull/Holding;value_OverArm;value_KeeperThrow;value_FirstTouch;value_HighRight;value_Low;value_OutOfBoxCentre;value_Handball;value_SetPiece;value_OutOfBoxDeepRight;value_Collected;value_LowCentre;value_FastBreak;value_VarPenaltyNotAwarded;value_Minutes;value_TacticalFoul;value_YellowCard;value_PlayersCaughtOffside;value_VarGoalNotAwarded;value_TempMissed;value_EndType;value_SmallBoxLeft;value_SwitchOfPlay;value_FromCorner;value_BoxLeft;value_LeftFooted;value_HighLeft;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_LayOff;value_OtherReason;value_OtherObstacle;value_35Centre;value_Dissent;value_InSwinger;value_OwnPlayer;value_FreeKick;value_OwnShotBlocked;value_RecklessOffence;value_SecondYellow;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2903596587;839;1;2;95;28;8zt8rrm6v5nccv01v6pef0r1o;1;74,4;50,0;2026-02-22T18:58:56.719Z;2026-02-22T18:58:59Z;[{'id': 6224461107, 'qualifierId': 141, 'value': '76.0'}, {'id': 6224461105, 'qualifierId': 140, 'value': '87.3'}, {'id': 6224461103, 'qualifierId': 56, 'value': 'Center'}, {'id': 6224461109, 'qualifierId': 212, 'value': '22.3'}, {'id': 6224461111, 'qualifierId': 213, 'value': '0.92'}];bdaicql6er9antum0eaar9x0q;Fiamma Benítez;;;8bo8kwuy2uvdmay9yf6dq9ses;Pass;;;;;;;;;;76,0;87,3;;22,3;0,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8zt8rrm6v5nccv01v6pef0r1o;Atlético Madrid;away;87,3;76,0;;;;;;;;0;95;28;Sevilla;5728;MC;1,0
2903596593;840;1;2;95;30;8zt8rrm6v5nccv01v6pef0r1o;0;92,5;78,4;2026-02-22T18:58:59.270Z;2026-02-22T18:59:00Z;[{'id': 6224461147, 'qualifierId': 56, 'value': 'Center'}, {'id': 6224461145, 'qualifierId': 155}, {'id': 6224461143, 'qualifierId': 2}, {'id': 6224461149, 'qualifierId': 140, 'value': '93.8'}, {'id': 6224461153, 'qualifierId': 212, 'value': '10.3'}, {'id': 6224461151, 'qualifierId': 141, 'value': '63.4'}, {'id': 6224461155, 'qualifierId': 213, 'value': '4.85'}];7vtua260sxp339ie21any0zc9;Rosa Otermín;;;8bo8kwuy2uvdmay9yf6dq9ses;Pass;;;;;;;;;;63,4;93,8;;10,3;4,85;;;;;;;;;;;;;;;1,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8zt8rrm6v5nccv01v6pef0r1o;Atlético Madrid;away;93,8;63,4;;;;;;;;0;95;30;Sevilla;5730;Sub;1,0
2903596603;657;61;2;95;33;bxlqcsb8ylen7lng9qy50eoq5;1;15,1;33,9;2026-02-22T18:59:02.129Z;2026-02-22T18:59:02Z;[{'id': 6224461223, 'qualifierId': 56, 'value': 'Back'}];5bxb8ecvhvo7mt31ixelzpjis;Alba Cerrato;;;8bo8kwuy2uvdmay9yf6dq9ses;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bxlqcsb8ylen7lng9qy50eoq5;Sevilla;home;;;;;;;;;;0;95;33;Atlético Madrid;5733;Sub;1,0
2903596657;658;4;2;95;37;bxlqcsb8ylen7lng9qy50eoq5;1;2,4;45,5;2026-02-22T18:59:05.903Z;2026-02-22T19:05:17Z;[{'id': 6224461519, 'qualifierId': 13}, {'id': 6224461795, 'qualifierId': 233, 'value': '841'}, {'id': 6224461527, 'qualifierId': 285}, {'id': 6224461523, 'qualifierId': 56, 'value': 'Back'}, {'id': 6224461525, 'qualifierId': 152}, {'id': 6224461521, 'qualifierId': 294}];91vjxbtjn9fmsatxvncmwxyhh;Esther Sullastres;;;8bo8kwuy2uvdmay9yf6dq9ses;Foul;;;;;;;;;;;;;;;;;;841,0;;;1,0;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bxlqcsb8ylen7lng9qy50eoq5;Sevilla;home;;;;;;;;;;0;95;37;Atlético Madrid;5737;GK;1,0
2903596675;841;4;2;95;37;8zt8rrm6v5nccv01v6pef0r1o;0;97,6;54,5;2026-02-22T18:59:05.904Z;2026-02-22T19:05:17Z;[{'id': 6224461825, 'qualifierId': 233, 'value': '658'}, {'id': 6224461769, 'qualifierId': 286}, {'id': 6224461763, 'qualifierId': 294}, {'id': 6224461761, 'qualifierId': 13}, {'id': 6224461765, 'qualifierId': 56, 'value': 'Center'}, {'id': 6224461767, 'qualifierId': 152}];51t40jr0wwgmuya85pnhjgx2i;Lauren;;;8bo8kwuy2uvdmay9yf6dq9ses;Foul;;;;;;;;;;;;;;;;;;658,0;;;;1,0;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8zt8rrm6v5nccv01v6pef0r1o;Atlético Madrid;away;;;;;;;;;;0;95;37;Sevilla;5737;DC;1,0
2903597031;659;1;2;96;12;bxlqcsb8ylen7lng9qy50eoq5;0;7,2;47,0;2026-02-22T18:59:41.535Z;2026-02-22T18:59:45Z;[{'id': 6224463561, 'qualifierId': 213, 'value': '6.05'}, {'id': 6224463563, 'qualifierId': 1}, {'id': 6224463557, 'qualifierId': 141, 'value': '22.2'}, {'id': 6224463551, 'qualifierId': 152}, {'id': 6224463555, 'qualifierId': 140, 'value': '74.4'}, {'id': 6224463553, 'qualifierId': 56, 'value': 'Center'}, {'id': 6224463559, 'qualifierId': 212, 'value': '72.5'}, {'id': 6224463547, 'qualifierId': 5}, {'id': 6224463549, 'qualifierId': 157}];dji2uqc37rl51rcpzbctps1zo;Isabel Álvarez;;;8bo8kwuy2uvdmay9yf6dq9ses;Pass;;;;;;;;;;22,2;74,4;;72,5;6,05;;1,0;1,0;;;;;;;;;1,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bxlqcsb8ylen7lng9qy50eoq5;Sevilla;home;74,4;22,2;;;;;;;;0;96;12;Atlético Madrid;5772;DC;1,0
2903597047;842;49;2;96;17;8zt8rrm6v5nccv01v6pef0r1o;1;35,2;68,5;2026-02-22T18:59:45.926Z;2026-02-22T18:59:46Z;[];d0i38pk78vbxoqz7x2rzz8cx6;Andrea Medina;;;8bo8kwuy2uvdmay9yf6dq9ses;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8zt8rrm6v5nccv01v6pef0r1o;Atlético Madrid;away;;;;;;;;;;0;96;17;Sevilla;5777;DML;1,0
2903597097;843;1;2;96;18;8zt8rrm6v5nccv01v6pef0r1o;1;37,8;69,4;2026-02-22T18:59:46.870Z;2026-02-22T18:59:51Z;[{'id': 6224463937, 'qualifierId': 56, 'value': 'Back'}, {'id': 6224463941, 'qualifierId': 141, 'value': '34.9'}, {'id': 6224463945, 'qualifierId': 213, 'value': '4.77'}, {'id': 6224463943, 'qualifierId': 212, 'value': '23.5'}, {'id': 6224463939, 'qualifierId': 140, 'value': '39.1'}];d0i38pk78vbxoqz7x2rzz8cx6;Andrea Medina;;;8bo8kwuy2uvdmay9yf6dq9ses;Pass;;;;;;;;;;34,9;39,1;;23,5;4,77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8zt8rrm6v5nccv01v6pef0r1o;Atlético Madrid;away;39,1;34,9;;;;;;;;0;96;18;Sevilla;5778;DML;1,0
2903597133;844;1;2;96;22;8zt8rrm6v5nccv01v6pef0r1o;1;43,2;33,9;2026-02-22T18:59:51.271Z;2026-02-22T18:59:54Z;[{'id': 6224464137, 'qualifierId': 56, 'value': 'Center'}, {'id': 6224464135, 'qualifierId': 155}, {'id': 6224464139, 'qualifierId': 140, 'value': '88.2'}, {'id': 6224464143, 'qualifierId': 212, 'value': '56.3'}, {'id': 6224464145, 'qualifierId': 213, 'value': '0.57'}, {'id': 6224464141, 'qualifierId': 141, 'value': '78.8'}, {'id': 6224464147, 'qualifierId': 1}];efxmnnjg8l00ns74d7nnloi22;Xènia Pérez;;;8bo8kwuy2uvdmay9yf6dq9ses;Pass;;;;;;;;;;78,8;88,2;;56,3;0,57;;1,0;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8zt8rrm6v5nccv01v6pef0r1o;Atlético Madrid;away;88,2;78,8;;;;;;;;0;96;22;Sevilla;5782;DC;1,0
2903597155;845;1;2;96;25;8zt8rrm6v5nccv01v6pef0r1o;1;88,2;78,8;2026-02-22T18:59:54.566Z;2026-02-22T18:59:56Z;[{'id': 6224464287, 'qualifierId': 213, 'value': '3.18'}, {'id': 6224464281, 'qualifierId': 140, 'value': '75.8'}, {'id': 6224464285, 'qualifierId': 212, 'value': '13.0'}, {'id': 6224464277, 'qualifierId': 3}, {'id': 6224464283, 'qualifierId': 141, 'value': '78.1'}, {'id': 6224464279, 'qualifierId': 56, 'value': 'Center'}];d0i38pk78vbxoqz7x2rzz8cx6;Andrea Medina;;;8bo8kwuy2uvdmay9yf6dq9ses;Pass;;;;;;;;;;78,1;75,8;;13,0;3,18;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8zt8rrm6v5nccv01v6pef0r1o;Atlético Madrid;away;75,8;78,1;;;;;;;;0;96;25;Sevilla;5785;DML;1,0
