field;Aerial duels won;Blocked shots;Clearances;Corners won;Crosses;Crossing accuracy;Duels success rate;Fouls conceded;Goals;Interceptions;Long passes;Offsides;Passes;Passing accuracy;Passing accuracy in opponents' half (%);Possession;Red cards;Shooting accuracy;Shots;Shots inside the box;Shots on target;Shots outside the box;Tackles;Tackles success rate;Yellow cards;matchId
away;0,516;1;18;4;15;0,6;0,523;17;3;8;50;1;481;0,863;0,782;0,556;0;0,313;16;12;5;4;27;0,48100000000000004;1;1f9e25njwyjk6ruheatqgglw
home;0,484;3;18;2;12;0,16699999999999998;0,47700000000000004;8;1;3;58;1;382;0,775;0,5920000000000001;0,444;1;0,28600000000000003;7;3;2;4;13;0,6920000000000001;0;1f9e25njwyjk6ruheatqgglw
