field;Aerial duels won;Blocked shots;Clearances;Corners won;Crosses;Crossing accuracy;Duels success rate;Fouls conceded;Goals;Interceptions;Long passes;Offsides;Passes;Passing accuracy;Passing accuracy in opponents' half (%);Possession;Red cards;Shooting accuracy;Shots;Shots inside the box;Shots on target;Shots outside the box;Tackles;Tackles success rate;Yellow cards;matchId
away;0,5710000000000001;0;27;1;4;0,25;0,442;11;1;11;51;3;216;0,6990000000000001;0,486;0,262;0;0,33299999999999996;3;3;1;0;17;0,765;1;8cuardpf2jimws64c0qsc0xlg
home;0,429;1;5;9;28;0,28600000000000003;0,5579999999999999;8;2;6;54;1;611;0,8759999999999999;0,6890000000000001;0,738;0;0,4;20;17;8;3;19;0,737;1;8cuardpf2jimws64c0qsc0xlg
