field;Aerial duels won;Blocked shots;Clearances;Corners won;Crosses;Crossing accuracy;Duels success rate;Fouls conceded;Goals;Interceptions;Long passes;Offsides;Passes;Passing accuracy;Passing accuracy in opponents' half (%);Possession;Red cards;Shooting accuracy;Shots;Shots inside the box;Shots on target;Shots outside the box;Tackles;Tackles success rate;Yellow cards;matchId
away;0,7040000000000001;11;12;5;26;0,385;0,495;8;1;4;64;1;422;0,775;0,6809999999999999;0,675;0;0,12;25;21;3;4;10;0,7;2;8bo8kwuy2uvdmay9yf6dq9ses
home;0,29600000000000004;2;35;1;13;0,231;0,505;16;2;11;76;1;205;0,61;0,46299999999999997;0,325;1;0,778;9;5;7;4;27;0,593;1;8bo8kwuy2uvdmay9yf6dq9ses
