id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_Involved;value_Resume;value_TeamPlayerFormation;value_PlayerPosition;value_Captain;value_TeamFormation;value_JerseyNumber;value_DirectionOfPlay;value_Zone;value_PassEndY;value_Angle;value_PassEndX;value_Length;value_KickOff;value_Launch;value_LongBall;value_HeadPass;value_OppositeRelatedEventId;value_BlockedPass;value_Offensive;value_Defensive;value_NextEventThrowIn;value_ThrowIn;value_IntendedTackleTarget;value_Chipped;value_OutOfPlay;value_Assist;value_GoalmouthY;value_GkX;value_RightFooted;value_RelatedEventId;value_IndividualPlay;value_RegularPlay;value_Assisted;value_GkY;value_OutOfBoxCentre;value_GoalmouthZ;value_HighRight;value_NextEventGoalKick;value_High;value_GoalKick;value_Foul;value_Review;value_Direct;value_AttemptedTackle;value_DeletedEventType;value_Standing;value_PreReviewEventType;value_VarDelay;value_AwaitingOfficial'SDecision;value_RefereeDelay;value_ReviewedEventId;value_Var(Red)CardUpgrade;value_RefereeDecisionCancelled;value_RedCard;value_SeriousFoul;value_FreeKickTaken;value_Injury;value_InjuredPlayerId;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_NotVisible;value_Cross;value_BlockedCross;value_Left;value_Right;value_CornerTaken;value_InSwinger;value_Head;value_LayOff;value_PlayersCaughtOffside;value_Indirect;value_PullBack;value_FlickOn;value_IntentionalAssist;value_BoxCentre;value_FirstTouch;value_GkKickFromHands;value_LeadingToAttempt;value_LowCentre;value_RelatedError1Id;value_BlockedX;value_NotAssisted;value_BigChance;value_BlockedY;value_LeftFooted;value_Hands;value_ParriedSafe;value_Overrun;value_LowLeft;value_Blocked;value_DefBlock;value_Low;value_LowRight;value_ThroughBall;value_HighClaim;value_KeeperThrow;value_OverArm;value_TacticalFoul;value_YellowCard;value_SetPiece;value_Minutes;value_EndType;value_Tap;value_GoalShotGameClock;value_FollowsADribble;value_GoalShotTimestamp;value_VarGoalAwarded;value_RefereeDecisionConfirmed;value_NotPastGoalLine;value_BoxLeft;value_SmallBoxCentre;value_CloseRight;value_Tactical;value_HighCentre;value_FromCorner;value_FantasyAssistedBy;value_FantasyAssistType;value_Volley;value_FantasyAssistTeam;value_FantasyAssistId;value_ShirtPull/Holding;value_Shove/Push;value_CloseLeft;value_Handball;value_FairPlay;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2903265797;938;27;2;87;0;vaikl8nl7hdr4y9jj4jyb9ey;1;0,0;0,0;2026-02-22T12:48:33.577Z;2026-02-22T12:48:43Z;[{'id': 6222624213, 'qualifierId': 41, 'value': 'Injury'}, {'id': 6222624053, 'qualifierId': 233, 'value': '516'}, {'id': 6222624215, 'qualifierId': 53, 'value': '7l3val0z7xwpaptf5ebgimnyt'}];;;;;8agzaoxboug1td3uvjrg6obh0;Start delay;;;;;;;;;;;;;;;;;;;516,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;vaikl8nl7hdr4y9jj4jyb9ey;Real Madrid;home;;;;;;;;;0;0;87;0;Tenerife;5220;;
2903265759;517;28;2;87;1;215mjv43m1cuncum9o4189mhg;1;0,0;0,0;2026-02-22T12:48:34.255Z;2026-02-22T13:00:05Z;[{'id': 6222623863, 'qualifierId': 55, 'value': '516'}, {'id': 6222651991, 'qualifierId': 233, 'value': '939'}];;;;;8agzaoxboug1td3uvjrg6obh0;End delay;;;;;;;;;;;;;;;;;;;939,0;;;;;;;;;;;;;516,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;215mjv43m1cuncum9o4189mhg;Tenerife;away;;;;;;;516,0;;0;0;87;1;Real Madrid;5221;;
2903265813;939;28;2;87;1;vaikl8nl7hdr4y9jj4jyb9ey;1;0,0;0,0;2026-02-22T12:48:34.255Z;2026-02-22T13:00:04Z;[{'id': 6222651985, 'qualifierId': 233, 'value': '517'}, {'id': 6222624113, 'qualifierId': 55, 'value': '938'}];;;;;8agzaoxboug1td3uvjrg6obh0;End delay;;;;;;;;;;;;;;;;;;;517,0;;;;;;;;;;;;;938,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;vaikl8nl7hdr4y9jj4jyb9ey;Real Madrid;home;;;;;;;938,0;;0;0;87;1;Tenerife;5221;;
2903265935;518;68;2;87;24;215mjv43m1cuncum9o4189mhg;1;12,7;40,7;2026-02-22T12:48:56.947Z;2026-02-22T12:48:57Z;[];;;;;8agzaoxboug1td3uvjrg6obh0;Referee Drop Ball;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;215mjv43m1cuncum9o4189mhg;Tenerife;away;;;;;;;;;0;0;87;24;Real Madrid;5244;;
2903265937;940;68;2;87;24;vaikl8nl7hdr4y9jj4jyb9ey;0;85,5;52,8;2026-02-22T12:48:56.950Z;2026-02-22T12:48:57Z;[];;;;;8agzaoxboug1td3uvjrg6obh0;Referee Drop Ball;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;vaikl8nl7hdr4y9jj4jyb9ey;Real Madrid;home;;;;;;;;;0;0;87;24;Tenerife;5244;;
2903265985;519;52;2;87;29;215mjv43m1cuncum9o4189mhg;1;9,6;37,6;2026-02-22T12:49:01.881Z;2026-02-22T12:49:02Z;[];eurxmqgiqw2hlsu8x0of9to7p;N. Cáceres;;;8agzaoxboug1td3uvjrg6obh0;Keeper pick-up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;215mjv43m1cuncum9o4189mhg;Tenerife;away;;;;;;;;;0;0;87;29;Real Madrid;5249;GK;1,0
2903266019;520;1;2;87;30;215mjv43m1cuncum9o4189mhg;1;9,6;37,6;2026-02-22T12:49:02.865Z;2026-02-22T12:49:05Z;[{'id': 6222625341, 'qualifierId': 213, 'value': '0.28'}, {'id': 6222625339, 'qualifierId': 212, 'value': '13.3'}, {'id': 6222625331, 'qualifierId': 123}, {'id': 6222625337, 'qualifierId': 141, 'value': '43.0'}, {'id': 6222625335, 'qualifierId': 140, 'value': '21.8'}, {'id': 6222625333, 'qualifierId': 56, 'value': 'Back'}];eurxmqgiqw2hlsu8x0of9to7p;N. Cáceres;;;8agzaoxboug1td3uvjrg6obh0;Pass;;;;;;;;;;;43,0;0,28;21,8;13,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;215mjv43m1cuncum9o4189mhg;Tenerife;away;21,8;43,0;;;;;;;0;0;87;30;Real Madrid;5250;GK;1,0
2903266073;521;1;2;87;32;215mjv43m1cuncum9o4189mhg;1;24,9;41,9;2026-02-22T12:49:05.368Z;2026-02-22T12:49:11Z;[{'id': 6222625609, 'qualifierId': 213, 'value': '0.88'}, {'id': 6222625605, 'qualifierId': 141, 'value': '63.4'}, {'id': 6222625607, 'qualifierId': 212, 'value': '18.9'}, {'id': 6222625601, 'qualifierId': 56, 'value': 'Back'}, {'id': 6222625603, 'qualifierId': 140, 'value': '36.3'}];7tpm4wyv287cic1xcl1gl47x0;F. Dembele;;;8agzaoxboug1td3uvjrg6obh0;Pass;;;;;;;;;;;63,4;0,88;36,3;18,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;215mjv43m1cuncum9o4189mhg;Tenerife;away;36,3;63,4;;;;;;;0;0;87;32;Real Madrid;5252;DC;1,0
2903266077;522;1;2;87;38;215mjv43m1cuncum9o4189mhg;0;45,6;75,9;2026-02-22T12:49:11.320Z;2026-02-22T12:49:52Z;[{'id': 6222625627, 'qualifierId': 1}, {'id': 6222625625, 'qualifierId': 213, 'value': '5.72'}, {'id': 6222625617, 'qualifierId': 56, 'value': 'Center'}, {'id': 6222625623, 'qualifierId': 212, 'value': '42.6'}, {'id': 6222627355, 'qualifierId': 157}, {'id': 6222625619, 'qualifierId': 140, 'value': '79.9'}, {'id': 6222625621, 'qualifierId': 141, 'value': '42.4'}];42t82kh0hqfa7h92x1ujdz97u;Patri Gavira;;;8agzaoxboug1td3uvjrg6obh0;Pass;;;;;;;;;;;42,4;5,72;79,9;42,6;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;215mjv43m1cuncum9o4189mhg;Tenerife;away;79,9;42,4;;;;;;;0;0;87;38;Real Madrid;5258;DC;1,0
2903266081;941;8;2;87;39;vaikl8nl7hdr4y9jj4jyb9ey;1;30,8;55,5;2026-02-22T12:49:12.181Z;2026-02-22T12:49:12Z;[{'id': 6222625641, 'qualifierId': 56, 'value': 'Back'}];757os3ykn2cuocj7tr4dqnw89;M. Lakrar;;;8agzaoxboug1td3uvjrg6obh0;Interception;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;vaikl8nl7hdr4y9jj4jyb9ey;Real Madrid;home;;;;;;;;;0;0;87;39;Tenerife;5259;DC;1,0
