teamId;teamName;shortName;officialName;code;field;country;matchId;scores.halftime;scores.fulltime
11oyltk0f22f5r7hnfiwxw8bj;Logroño;DUX Logroño;DUX Logroño;LOG;home;Spain;8c2dsd3xcpqv0z0j4g3nag8pg;0;2
e7p3lxg97gac51s71hotzi0a5;Badalona;Badalona;FC Badalona Women;BAD;away;Spain;8c2dsd3xcpqv0z0j4g3nag8pg;1;3
