field;Aerial duels won;Blocked shots;Clearances;Corners won;Crosses;Crossing accuracy;Duels success rate;Fouls conceded;Goals;Interceptions;Long passes;Offsides;Passes;Passing accuracy;Passing accuracy in opponents' half (%);Possession;Red cards;Shooting accuracy;Shots;Shots inside the box;Shots on target;Shots outside the box;Tackles;Tackles success rate;Yellow cards;matchId
away;0,647;2;20;4;17;0,17600000000000002;0,568;14;0;6;55;6;223;0,628;0,455;0,36200000000000004;0;0,28600000000000003;14;9;4;5;23;0,7829999999999999;2;6jotswzwmrnex0mktyd575ez8
home;0,353;1;24;3;12;0,16699999999999998;0,43200000000000005;9;0;9;83;1;412;0,731;0,618;0,638;0;0,2;5;2;1;3;13;0,9229999999999999;0;6jotswzwmrnex0mktyd575ez8
