id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_Resume;value_TeamPlayerFormation;value_PlayerPosition;value_Captain;value_Involved;value_TeamKit;value_JerseyNumber;value_TeamFormation;value_DirectionOfPlay;value_KickOff;value_Length;value_Angle;value_Zone;value_PassEndY;value_PassEndX;value_Launch;value_LongBall;value_Chipped;value_Head;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_HeadPass;value_BlockedPass;value_DeletedEventType;value_Standing;value_NextEventThrowIn;value_ThrowIn;value_KeeperThrow;value_LayOff;value_Review;value_VarDelay;value_RefereeDelay;value_AwaitingOfficial'SDecision;value_RefereeDecisionConfirmed;value_ReviewedEventId;value_Var(Red)CardUpgrade;value_RelatedEventId;value_RefereeStop;value_OtherReason;value_InjuredPlayerId;value_Injury;value_NextEventGoalKick;value_GoalKick;value_Low;value_FlickOn;value_IntendedTackleTarget;value_IntentionalAssist;value_Assist;value_BoxDeepRight;value_GkY;value_RegularPlay;value_RightFooted;value_GoalmouthY;value_Assisted;value_GkX;value_GoalmouthZ;value_High;value_IndividualPlay;value_Hands;value_ParriedSafe;value_NotVisible;value_BlockedClearance;value_BlockedX;value_BoxCentre;value_Blocked;value_LowLeft;value_BlockedY;value_LeftFooted;value_DefBlock;value_OutOfPlay;value_Right;value_Left;value_CornerTaken;value_Cross;value_OutSwinger;value_HighRight;value_NotAssisted;value_OutOfBoxCentre;value_FromCorner;value_VarPenaltyNotAwarded;value_NotPastGoalLine;value_FirstTouch;value_Direct;value_Shove/Push;value_Foul;value_HighLeft;value_Indirect;value_FreeKickTaken;value_OverArm;value_AttemptedTackle;value_FastBreak;value_BoxLeft;value_BoxDeepLeft;value_LowCentre;value_GkKickFromHands;value_ShirtPull/Holding;value_SwitchOfPlay;value_Minutes;value_HighCentre;value_GkHoof;value_EndType;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_PlayersCaughtOffside;value_RecklessOffence;value_YellowCard;value_ThroughBall;value_Unchallenged;value_LowRight;value_SixYardBlocked;value_BigChance;value_SavedOffLine;value_LastLine;value_InSwinger;value_BlockedCross;value_SetPiece;value_CloseLeftAndHigh;value_TempBlocked;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2900978701;419;1;2;53;22;4vvf3sulx3a61fiyaarjdndjs;1;78,0;23,6;2026-02-15T18:45:19.731Z;2026-02-15T18:45:20Z;[{'id': 6209761427, 'qualifierId': 141, 'value': '9.5'}, {'id': 6209761425, 'qualifierId': 140, 'value': '77.7'}, {'id': 6209761431, 'qualifierId': 213, 'value': '4.68'}, {'id': 6209761423, 'qualifierId': 56, 'value': 'Right'}, {'id': 6209761429, 'qualifierId': 212, 'value': '9.6'}];c3plg9ommu3i24xx3nfm6wbxm;Esther Laborde;;88615duwe4jthb5gb60g59nv8;Pass;;;;;;;;;;;9,6;4,68;;9,5;77,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4vvf3sulx3a61fiyaarjdndjs;Madrid;away;77,7;9,5;;;;;;;0;0;53;22;Atlético Madrid;3202;MC;1,0
2900978769;420;1;2;53;23;4vvf3sulx3a61fiyaarjdndjs;1;77,7;8,9;2026-02-15T18:45:20.788Z;2026-02-15T18:45:27Z;[{'id': 6209761777, 'qualifierId': 213, 'value': '2.58'}, {'id': 6209761773, 'qualifierId': 141, 'value': '17.6'}, {'id': 6209761769, 'qualifierId': 56, 'value': 'Right'}, {'id': 6209761775, 'qualifierId': 212, 'value': '11.1'}, {'id': 6209761771, 'qualifierId': 140, 'value': '68.8'}];24fopza4zrtm63pyjkl55beac;Alba Ruiz;;88615duwe4jthb5gb60g59nv8;Pass;;;;;;;;;;;11,1;2,58;;17,6;68,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4vvf3sulx3a61fiyaarjdndjs;Madrid;away;68,8;17,6;;;;;;;0;0;53;23;Atlético Madrid;3203;DMR;1,0
2900978773;421;4;2;53;30;4vvf3sulx3a61fiyaarjdndjs;1;70,0;26,0;2026-02-15T18:45:27.536Z;2026-02-15T18:45:32Z;[{'id': 6209761859, 'qualifierId': 286}, {'id': 6209761875, 'qualifierId': 233, 'value': '556'}, {'id': 6209761857, 'qualifierId': 265}, {'id': 6209761853, 'qualifierId': 56, 'value': 'Center'}, {'id': 6209761851, 'qualifierId': 13}, {'id': 6209761855, 'qualifierId': 152}];c3plg9ommu3i24xx3nfm6wbxm;Esther Laborde;;88615duwe4jthb5gb60g59nv8;Foul;;;;;;;;;;;;;;;;;;;;556,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;1,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4vvf3sulx3a61fiyaarjdndjs;Madrid;away;;;;;;;;;0;0;53;30;Atlético Madrid;3210;MC;1,0
2900978765;556;4;2;53;30;8zt8rrm6v5nccv01v6pef0r1o;0;30,0;74,1;2026-02-15T18:45:27.537Z;2026-02-15T18:45:56Z;[{'id': 6209763333, 'qualifierId': 55, 'value': '557'}, {'id': 6209761837, 'qualifierId': 152}, {'id': 6209761897, 'qualifierId': 233, 'value': '421'}, {'id': 6209761839, 'qualifierId': 265}, {'id': 6209761841, 'qualifierId': 285}, {'id': 6209761835, 'qualifierId': 56, 'value': 'Back'}, {'id': 6209761833, 'qualifierId': 13}];dej9w2n7m9uzfb12yozvly5pm;Júlia Bartel;;88615duwe4jthb5gb60g59nv8;Foul;;;;;;;;;;;;;;;;;;;;421,0;;1,0;;;;;;;;;;;;;;;;557,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;1,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8zt8rrm6v5nccv01v6pef0r1o;Atlético Madrid;home;;;;;;;557,0;dej9w2n7m9uzfb12yozvly5pm;0;0;53;30;Madrid;3210;Sub;1,0
2900978929;557;17;2;53;37;8zt8rrm6v5nccv01v6pef0r1o;1;0,0;0,0;2026-02-15T18:45:34.808Z;2026-02-15T18:46:47Z;[{'id': 6209763307, 'qualifierId': 13, 'value': '243'}, {'id': 6209763305, 'qualifierId': 392}, {'id': 6209763309, 'qualifierId': 55, 'value': '556'}, {'id': 6209763303, 'qualifierId': 31}];dej9w2n7m9uzfb12yozvly5pm;Júlia Bartel;;88615duwe4jthb5gb60g59nv8;Card;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;556,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;243,0;;;;;;;;;;;;;;;;;;;;;;1,0;1,0;;;;;;;;;;;;;;;8zt8rrm6v5nccv01v6pef0r1o;Atlético Madrid;home;;;;;;;556,0;dej9w2n7m9uzfb12yozvly5pm;0;0;53;37;Madrid;3217;Sub;1,0
2900979591;422;1;2;54;54;4vvf3sulx3a61fiyaarjdndjs;0;78,5;7,0;2026-02-15T18:46:51.565Z;2026-02-15T18:46:54Z;[{'id': 6209766575, 'qualifierId': 5}, {'id': 6209766589, 'qualifierId': 213, 'value': '1.10'}, {'id': 6209766573, 'qualifierId': 2}, {'id': 6209766587, 'qualifierId': 212, 'value': '29.2'}, {'id': 6209766577, 'qualifierId': 155}, {'id': 6209766583, 'qualifierId': 140, 'value': '91.2'}, {'id': 6209766579, 'qualifierId': 152}, {'id': 6209766581, 'qualifierId': 56, 'value': 'Center'}, {'id': 6209766585, 'qualifierId': 141, 'value': '45.2'}];5kio1iodx7cq9i9p9kql1nuuh;Ángela Sosa;;88615duwe4jthb5gb60g59nv8;Pass;;;;;;;;;;;29,2;1,1;;45,2;91,2;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;1,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4vvf3sulx3a61fiyaarjdndjs;Madrid;away;91,2;45,2;;;;;;;0;0;54;54;Atlético Madrid;3294;AMC;1,0
2900979747;558;12;2;54;58;8zt8rrm6v5nccv01v6pef0r1o;1;11,4;52,7;2026-02-15T18:46:55.369Z;2026-02-15T18:47:07Z;[{'id': 6209767409, 'qualifierId': 56, 'value': 'Back'}, {'id': 6209767413, 'qualifierId': 141, 'value': '18.9'}, {'id': 6209767415, 'qualifierId': 212, 'value': '23.8'}, {'id': 6209767417, 'qualifierId': 213, 'value': '4.97'}, {'id': 6209767411, 'qualifierId': 140, 'value': '17.2'}];efxmnnjg8l00ns74d7nnloi22;Xènia Pérez;;88615duwe4jthb5gb60g59nv8;Clearance;;;;;;;;;;;23,8;4,97;;18,9;17,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8zt8rrm6v5nccv01v6pef0r1o;Atlético Madrid;home;17,2;18,9;;;;;;;0;0;54;58;Madrid;3298;DC;1,0
2900979675;423;1;2;55;1;4vvf3sulx3a61fiyaarjdndjs;1;85,6;80,6;2026-02-15T18:46:58.301Z;2026-02-15T18:47:01Z;[{'id': 6209767073, 'qualifierId': 212, 'value': '18.4'}, {'id': 6209767067, 'qualifierId': 56, 'value': 'Center'}, {'id': 6209767075, 'qualifierId': 213, 'value': '3.48'}, {'id': 6209767071, 'qualifierId': 141, 'value': '71.7'}, {'id': 6209767069, 'qualifierId': 140, 'value': '69.1'}];5x93ra7unls3fac5gomibwel1;A. Poljak;;88615duwe4jthb5gb60g59nv8;Pass;;;;;;;;;;;18,4;3,48;;71,7;69,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4vvf3sulx3a61fiyaarjdndjs;Madrid;away;69,1;71,7;;;;;;;0;0;55;1;Atlético Madrid;3301;DML;1,0
2900979701;424;1;2;55;4;4vvf3sulx3a61fiyaarjdndjs;1;69,1;71,7;2026-02-15T18:47:01.078Z;2026-02-15T18:47:03Z;[{'id': 6209767205, 'qualifierId': 212, 'value': '25.0'}, {'id': 6209767201, 'qualifierId': 140, 'value': '90.2'}, {'id': 6209767203, 'qualifierId': 141, 'value': '88.7'}, {'id': 6209767207, 'qualifierId': 213, 'value': '0.48'}, {'id': 6209767199, 'qualifierId': 56, 'value': 'Left'}];1zlt1xabh07byc3u8oid9gdn8;Sandra Villafañe;;88615duwe4jthb5gb60g59nv8;Pass;;;;;;;;;;;25,0;0,48;;88,7;90,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4vvf3sulx3a61fiyaarjdndjs;Madrid;away;90,2;88,7;;;;;;;0;0;55;4;Atlético Madrid;3304;DC;1,0
2900979745;425;1;2;55;6;4vvf3sulx3a61fiyaarjdndjs;0;90,2;88,7;2026-02-15T18:47:03.741Z;2026-02-15T18:47:07Z;[{'id': 6209767405, 'qualifierId': 1}, {'id': 6209767401, 'qualifierId': 212, 'value': '36.0'}, {'id': 6209767393, 'qualifierId': 155}, {'id': 6209767395, 'qualifierId': 56, 'value': 'Center'}, {'id': 6209767403, 'qualifierId': 213, 'value': '5.04'}, {'id': 6209767391, 'qualifierId': 2}, {'id': 6209767399, 'qualifierId': 141, 'value': '38.6'}, {'id': 6209767397, 'qualifierId': 140, 'value': '100.0'}];5x93ra7unls3fac5gomibwel1;A. Poljak;;88615duwe4jthb5gb60g59nv8;Pass;;;;;;;;;;;36,0;5,04;;38,6;100,0;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4vvf3sulx3a61fiyaarjdndjs;Madrid;away;100,0;38,6;;;;;;;0;0;55;6;Atlético Madrid;3306;DML;1,0
